Species,Platform,Name,Assays,Casey's Y/N as of 2/8,Proc
mus musculus,A-TIGR-2,"TIGR M. musculus 27k array, v.1",22,,
mus musculus,A-SMDB-681,SMD Mus musculus Array MML,22,,
mus musculus,A-MEXP-62,RFCGR_HGMP_Mouse_Mm_Immuno_Av2,22,,
mus musculus,A-MEXP-2031,Mattes mouse AGRF Ambion1564v1  1152 features,22,,
mus musculus,A-GEOD-13642,LC_MRA-1002_miRMouse_10.1_071219 (miRNA ID version),22,,
mus musculus,A-MEXP-527,Illumina MouseRef-8 v1 Expression BeadChip,22,,
mus musculus,A-GEOD-9154,FSU NimbleGen Mouse 385K Whole Genome Tiling,22,,
mus musculus,A-GEOD-11641,Agilent-020088 Mouse 4X44K (Probe Name version),22,,
mus musculus,A-GEOD-18619,Agilent-017138 Mouse Array,22,,
mus musculus,A-GEOD-8065,Agilent Mouse 244k CpG-island-associated SAT promoter array,22,,
mycobacterium tuberculosis,A-BUGS-34,BuG@S M.tuberculosis / M.bovis 10944 TBv2_1_2,22,,
oncorhynchus mykiss,A-MEXP-804,GRASP 16k,22,,
oryza sativa,A-GEOD-10401,NSF45K_UCD_slide_b,22,,
oryza sativa,A-GEOD-10402,NSF45K_UCD_slide_b,22,,
oryza sativa japonica group,A-GEOD-11322,Affymetrix Rice Genome Array (custom CDF),22,,
phytophthora infestans,A-GEOD-4523,Judelson/Syngenta_Phytophthora infestans_15645_V.1,22,,
plasmodium falciparum 3d7,A-GEOD-18267,Agilent-032491 3D7v7.1_transcriptome [ORF version],22,,
rattus norvegicus,A-AGIL-19,Agilent Whole Rat Genome Microarray 4x44K 014879 G4131F,22,,
saccharomyces cerevisiae,A-GEOD-14962,UofToronto-yeastORF-6.4k6,22,,
saccharomyces cerevisiae,A-MEXP-43,UHN_y6.4k1v2,22,,
saccharopolyspora erythraea,A-GEOD-19656,Agilent-042341 Saccharopolyspora erythraea SACE_v1,22,,
salmonella enterica subsp. enterica serovar typhimurium,A-MEXP-2343,RIKILT Salmonella Stress and virulence microarray,22,,
schizosaccharomyces pombe,A-MEXP-1284,Stonybrook_Redgreengene.com-S.pombe-25k-A19,22,,
schizosaccharomyces pombe,A-GEOD-9820,Madhani lab S. pombe 41K heterochromatin tiling array,22,,
schizosaccharomyces pombe,A-GEOD-19654,Agilent-036227 Schizosaccharomyces pombe sp40c [ProbeName version],22,,
schizosaccharomyces pombe,A-GEOD-15360,Agilent-028936 KARC-EX-2010-31 026058 [ProbeName version],22,,
solanum lycopersicum,A-GEOD-15489,Combimatrix 90k TomatArray 1.0,22,,
staphylococcus aureus subsp. aureus usa300,A-AFFY-147,Affymetrix GeneChip S. aureus Genome Array [S_aureus],22,,
streptococcus mutans,A-GEOD-4340,JCVI PFGRC Streptococcus mutans 10K v2.1 array designed primarily based on strain UA159 [FULL_FEATURE_LAYOUT],22,,
streptomyces coelicolor a3(2),A-MAXD-28,OGT_S COELICOLOR_105k_v1,22,,
strongyloides ratti,A-MEXP-650,UoB-Strongyloides ratti-parasitic chip-20K,22,,
synechocystis sp. pcc 6803,A-GEOD-4017,TakaraBio CyanoCHIP ver1.4-ver1.6,22,,
ursus americanus,A-GEOD-8249,Wistar Institute Ursus americanus 9.6 k BA02,22,,
zea mays,A-MEXP-1427,Maize Array Slide A,22,,
Multiple,A-SMDB-997,SMD Homo sapiens Array SHFB,21,,
Multiple,A-MEXP-875,RPCI Mouse 6.5K,21,,
Multiple,A-GEOD-6554,IHM Listeria monocytogenes whole genome 12k array,21,,
Multiple,A-GEOD-13298,CombiMatrix 90K Petunia inflata array,21,,
Multiple,A-GEOD-13299,CombiMatrix 90K Petunia inflata array,21,,
Multiple,A-MEXP-830,CU-Schistosoma mansoni oligonucleotide 37K,21,,
Multiple,A-GEOD-13912,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),21,,
Multiple,A-GEOD-16263,Agilent-031554 Thellungiella salsuginea 4x44,21,,
Multiple,A-GEOD-10787,Agilent-028005 Mouse Gene Expression 8x60K Microarray (G4852A),21,,
Multiple,A-GEOD-15297,Agilent Custom Gene Expression Array for Saccharomyces mikatae,21,,
Multiple,A-AFFY-38,Affymetrix GeneChip Mouse Expression Array MOE430A [MOE430A],21,,
aedes aegypti,A-GEOD-8705,Custom NimbleGen Aedes aegypti Expression Array [Design 6336],21,,
arabidopsis thaliana,A-MEXP-861,Galbraith A. thaliana 29k 2.7.2.Y,21,,
arabidopsis thaliana,A-GEOD-15543,FGCVR_Arabidopsis_28K_v2.0,21,,
archaeoglobus fulgidus vc-16,A-MEXP-2377,A. Fulgidus Oligonucleotide Nimblegen 135K Array V1,21,,
biomphalaria glabrata,A-GEOD-9129,UNM Biomphalaria glabrata 70-mer oligo array version 1,21,,
bombyx mori,A-GEOD-10763,23K Silkworm Genome Array,21,,
bos taurus,A-FPMI-3,Pyxis Genomics CattleArray7800,21,,
bubalus bubalis,A-AFFY-128,Affymetrix GeneChip Bovine Genome Array Bovine,21,,
candida albicans,A-GEOD-9728,28K Candida albicans Genome Array,21,,
casuarina glauca,A-GEOD-10929,Agilent-020940 Casuarina glauca Oligo Microarray (8 x 15K) V1.0 (Probe Name version),21,,
catostomus macrocheilus,A-GEOD-16082,Agilent-035137 Catostomus snyderi array [Probe Name],21,,
corynebacterium glutamicum atcc 13032,A-GEOD-9860,FZ_IBT1_Cglutamicum_10K_ver2,21,,
cyanothece sp. atcc 51142,A-GEOD-15492,Agilent-018970 Cyanothece custom 8x15K (Feature Number version),21,,
daphnia magna,A-GEOD-7742,EBT_UA_Daphnia magna_2.3K_version1,21,,
enchytraeus albidus,A-GEOD-16963,Agilent-030589 Enchytraeus albidus Gene Expression Array 8x15k [Probe Name version],21,,
entamoeba invadens,A-GEOD-14810,[Eh_Eia520620F_Ei] Affymetrix Entamoeba invadens Array,21,,
escherichia coli str. k-12 substr. mg1655,A-GEOD-14649,071112 Ecoli K12 EXP X4,21,,
eucalyptus grandis,A-GEOD-8164,CSIR Eucalyptus grandis 20060210 15K v1.0,21,,
folsomia candida,A-GEOD-17934,Agilent-039425 Folsomia V5.1,21,,
homo sapiens,A-GEOD-17382,"miRCURY LNA microRNA Array, 6th generation - hsa, mmu & rno [miRBase 17.0]",21,,
homo sapiens,A-GEOD-19083,"miRCURY LNA microRNA Array - 7th generation - hsa, mmu & rno [miRBase 19.0]",21,,
homo sapiens,A-GEOD-14010,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [hugene10stv1hsentrezg],21,,
homo sapiens,A-GEOD-5876,UW_Homo_sapiens_array_hg18_NimbleGen,21,,
homo sapiens,A-SMDB-472,SMD Homo sapiens Lymphochip Array LC-18,21,,
homo sapiens,A-SMDB-182,SMD Homo sapiens Array SHW,21,,
homo sapiens,A-SMDB-820,SMD Homo sapiens Array SHDN,21,,
homo sapiens,A-SMDB-556,"SMD Homo sapiens Array SHCK, 43008 features",21,,
homo sapiens,A-SMDB-382,SMD Homo sapiens Array SHAT,21,,
homo sapiens,A-MEXP-258,OSU-CCC_hsa-miRNA-chip_v3,21,,
homo sapiens,A-GEOD-8445,"Nimblegen human 60-mer gene expression array, design version 2003_10_27",21,,
homo sapiens,A-MEXP-813,NMC human 15k duplicate,21,,
homo sapiens,A-GEOD-9081,Illumina HumanWG-6_V2_0_R2,21,,
homo sapiens,A-GEOD-6782,Illumina HumanHT-12 v3.0 Expression BeadChip,21,,
homo sapiens,A-GEOD-15740,HOMIM-V4a,21,,
homo sapiens,A-MEXP-1274,Exiqon miRCURY LNA microRNA Array v.8.1 - all organisms (Sun),21,,
homo sapiens,A-GEOD-7089,CCDTM miRNA850-version 4,21,,
homo sapiens,A-GEOD-7089,CCDTM Hs_CCDTM36k - version 1,21,,
homo sapiens,A-GEOD-9081,Aguiar Human 41K miRNA CGH,21,,
homo sapiens,A-GEOD-16550,Agilent-026867 Human miRNA Microarray_Hsa_Rel14_V5 (Probe Name version),21,,
homo sapiens,A-GEOD-4126,Agilent-014791 Human CpG Island ChIP-on-Chip Microarray 244K (G4492A),21,,
homo sapiens,A-GEOD-10383,Agilent MQD Human 60K v1.0,21,,
homo sapiens,A-AFFY-113,Affymetrix High Throughput Array U133AA of Av2 [U133AAofAv2],21,,
homo sapiens,A-GEOD-8300,Affymetrix GeneChip Human Genome U95D [HG_U95D],21,,
homo sapiens,A-GEOD-6042,AGRF Human 8K cDNA Microarray (muscle study),21,,
ichthyophthirius multifiliis,A-GEOD-9449,Auburn University Ichthyophthirius multifiliis 40K v1.0,21,,
klebsiella pneumoniae subsp. pneumoniae mgh 78578,A-GEOD-15252,Klebsiella pneumoniae MGH 78578 Nimblegen 9822 array,21,,
lactobacillus casei str. zhang,A-GEOD-10747,Agilent-023215 lac,21,,
listeria monocytogenes,A-GEOD-6554,University of Wuerzburg Listeria monocytogenes PTS 1K microarray version1,21,,
macaca fascicularis,A-MEXP-2088,Illumina HumanHT-12_V4_0_R2_15002873_B extra probe,21,,
mus musculus,A-AGIL-2,old identifiers - Agilent Mouse (Development) Oligo (60-mer) Microarray [G4120A],21,,
mus musculus,A-AFFY-130,[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [transcript (gene) version],21,,
mus musculus,A-GEOD-18243,[MOE430A_Mm_ENTREZG] Affymetrix Mouse Expression 430A Array [Brainarray Version 14.0.0],21,,
mus musculus,A-GEOD-15518,Phalanx Mouse miRNA OneArray Ver 4 (miRBase Release 18),21,,
mus musculus,A-GEOD-17252,Phalanx Mouse & Rat miRNA OneArray (miRBase13),21,,
mus musculus,A-MEXP-647,Pasteur Agilent Mouse cDNA Array (G4104A),21,,
mus musculus,A-GEOD-10283,Nimblegen Mouse 25K MM5_HELP_Promoter array,21,,
mus musculus,A-GEOD-9752,Mmbe-Mouse-NIAID,21,,
mus musculus,A-GEOD-10811,MEEBO Mus musculus Oligo 70mer Array V36547,21,,
mus musculus,A-GEOD-20703,Applied Biosystems Taqman Array Rodent MicroRNA CardA v3.0,21,,
mus musculus,A-GEOD-21265,"Agilent-070155 Mouse miRNA Microarray (miRBase Release 21.0, miRNA ID version)",21,,
mus musculus,A-GEOD-14573,"Agilent-014717 Mouse Promoter ChIP-on-Chip Set 244K, Microarray 2 of 2 (G4490A) (Probe Name version)",21,,
mus musculus,A-GEOD-14597,"Agilent-014717 Mouse Promoter ChIP-on-Chip Set 244K, Microarray 2 of 2 (G4490A) (Probe Name version)",21,,
mus musculus,A-AFFY-45,Agilent Mouse Genome CGH Microarray 244A 014695 G4415A,21,,
mus musculus,A-AFFY-8,Affymetrix GeneChip Murine Genome U74Cv2 [MG_U74Cv2],21,,
mus musculus domesticus,A-MEXP-1175,Illumina MouseWG-6 v2.0 Expression BeadChip,21,,
mycobacterium avium,A-BUGS-35,BuG@S M.paratuberculosis 13440 MAPv1_0_0,21,,
neisseria meningitidis,A-MTAB-517,NVD Neisseria meningitidis 44K AMADID 021594 v1.1,21,,
nitrosomonas europaea atcc 19718,A-GEOD-18989,Nitrosomonas europaea Kangchen Custom Expression Microarray,21,,
ovis aries,A-GEOD-17393,Agilent-029915 ovine array [Probe Name version],21,,
physcomitrella patens,A-MEXP-1756,P. patens6710_Combimatrix,21,,
plasmodium berghei,A-GEOD-9539,Agilent_MIE Plasmodium berghei 4X44k Microarray,21,,
plasmodium falciparum,A-MEXP-2369,A. Talleh Agilent-025783 Plasmodium falciparum custom array,21,,
plasmodium knowlesi,A-GEOD-19374,ZB/SBS-NTU Plasmodium knowlesi 11.6K v1,21,,
populus tremula x populus alba,A-GEOD-13485,Populus trichocarpa 12-plex whole genome expression array,21,,
populus trichocarpa,A-GEOD-5988,NCSU/FBG_Poplar_miRNA_v1.0,21,,
pseudomonas putida,A-GEOD-11234,DTU Agilent Pseudomonas putida KT2440 15K,21,,
pseudonocardia dioxanivorans cb1190,A-GEOD-14784,[CB1190a520768F] Affymetrix Pseudonocardia dioxanivorans strain CB1190 Array,21,,
saccharomyces cerevisiae,A-MEXP-310,Hitachi_S_cerevisiae_6K_ORF,21,,
saccharomyces pastorianus,A-GEOD-17932,S. Cerevisiae Flocculation array,21,,
salmonella enterica,A-GEOD-8849,IFR_Salmonella_5.3k_v1.0,21,,
schizosaccharomyces pombe,A-SNGR-13,Sanger Institute S. pombe array 3.1.1 template 5.1,21,,
schizosaccharomyces pombe,A-SNGR-12,Sanger Institute S. pombe array 3.1.1 template 4.3,21,,
schizosaccharomyces pombe,A-MEXP-1462,GEMO S. Pombe expression array,21,,
solanum lycopersicum,A-GEOD-3838,Potato 10k cDNA array version 4,21,,
sparus aurata,A-GEOD-13442,Aquagenomic Sparus aurata oligonucleotide-microarray (SAQ),21,,
streptococcus mutans ua159,A-GEOD-18933,Streptococcus mutans UA159 Agilent single-channel 15K genechip,21,,
Multiple,A-GEOD-13185,[mjay] Custom Affymetrix Mouse Exon Junction Array,20,,
Multiple,A-AFFY-45,[X_laevis_2] Affymetrix Xenopus laevis Genome 2.0 Array,20,,
Multiple,A-GEOD-19121,[FRAGDIFFa520673F] Affymetrix B. fragilis NCTC 9343 and C. difficile 630 array,20,,
Multiple,A-GEOD-10366,"WCFS yoghurt arrays, TB1_8, Version 1",20,,
Multiple,A-GEOD-17904,Unknown!,20,,
Multiple,A-GEOD-11071,NimbleGen custom Human HG18 144-gene region Array,20,,
Multiple,A-MEXP-577,NMC (Norwegian Microarray Consortium) 35k human oligo v2.1,20,,
Multiple,A-MEXP-92,"Lund Univ Mycorrhiza_Betula pendula-Paxillus involutus 10k, version 1.2",20,,
Multiple,A-GEOD-6416,Hofmann A. burtoni 16K brain_pinky_array_print4,20,,
Multiple,A-MEXP-1428,DFS DD ARRAY PROTOCOL,20,,
Multiple,A-GEOD-15018,Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray 030840,20,,
Multiple,A-AGIL-10,Agilent Rice Oligo Microarray 012106 G4138A,20,,
Multiple,A-GEOD-10498,Agilent Custom Gene Expression Array for Saccharomyces mikatae,20,,
Multiple,A-GEOD-15300,Agilent Custom Gene Expression Array for Saccharomyces mikatae,20,,
Multiple,A-AFFY-62,Affymetrix GeneChip Xenopus laevis Genome Array [Xenopus_laevis],20,,
Multiple,A-AFFY-2,Affymetrix GeneChip Rice Genome Array [Rice],20,,
Multiple,A-AFFY-43,Affymetrix GeneChip Rat Genome 230 2.0 [Rat230_2],20,,
acetobacter aceti nbrc 14818,A-GEOD-10976,NimbleGen Acetobacter aceti NBRC14818 4X72K array Univ. of Tokyo v1.0,20,,
ajellomyces capsulatus,A-GEOD-17166,UCSF/Sil lab-Histoplasma capsulatum-G217Borfs2,20,,
amycolatopsis mediterranei s699,A-GEOD-17744,[AMEDS_expr] Custom Affymetrix Amycolatopsis mediterranei S699 10k chip,20,,
apis mellifera,A-GEOD-16023,UIUC Honey bee whole genome oligo microarray,20,,
arabidopsis thaliana,A-MEXP-37,"VIB A. thaliana 6k array, version 1",20,,
arabidopsis thaliana,A-GEOD-15417,University of Wisconsin Arabidobpsis Millichip 1K,20,,
arabidopsis thaliana,A-MEXP-38,Turku Arabidopsis 8k slide1,20,,
arabidopsis thaliana,A-MEXP-39,Turku Arabidopsis 8k slide1,20,,
arabidopsis thaliana,A-GEOD-13970,NimbleGen Arabidopsis thaliana Gene Expression 12x135K Array [100718_Athal_TAIR9_exp],20,,
arabidopsis thaliana,A-GEOD-9982,Meyerowitz Lab Arabidopsis Operon Array Version 4,20,,
arabidopsis thaliana,A-MEXP-1038,Agilent-021169 Arabidopsis 4 Oligo Microarray (V4) (Probe Name version),20,,
biomphalaria glabrata,A-MEXP-1401,NHM-ABDN B.glabrata 5K v1,20,,
bos taurus,A-GEOD-21098,"[BovGene-1_0-st] Bovine Gene 1.0 ST Array [CDF: Brainarray bovgene10st_Bt_ENTREZG, version 19.0.0]",20,,
brassica napus,A-GEOD-14582,Agilent-022520 Brassica napus 4x44K,20,,
brucella abortus,A-GEOD-15577,URMC_Dunman_Brucella_abortus_v1.0,20,,
campylobacter jejuni,A-GEOD-4869,Campylobacter NCTC 11168 ORF-based array printed at IFR (second type),20,,
campylobacter jejuni,A-BUGS-37,BuG@S C.jejuni 6080 CJv3_0_0,20,,
canis lupus familiaris,A-GEOD-5117,UMC_VET Canis familiaris 21K cDNA array,20,,
canis lupus familiaris,A-GEOD-11214,Agilent-015067 Canine 4x44K Microarray (Feature Number version),20,,
capra hircus,A-GEOD-10427,"Agilent-019921 Sheep Gene expression microarray 8x15K, G4813A",20,,
chlamydomonas reinhardtii,A-GEOD-18571,Agilent-024664 chlamydomonas full genome [condensed probe ID version],20,,
coregonus lavaretus,A-GEOD-21057,Agilent-049158 Salmon Oligo Microarray 8x60K v1 020938,20,,
danio rerio,A-GEOD-14665,UoL-LMF Zebrafish 17K v2.0,20,,
danio rerio,A-GEOD-15957,MRA-1004 miR Zebrafish 10.1 [miRNA ID version],20,,
danio rerio,A-MEXP-2308,Exiqon miRCURY LNA array other species v.11,20,,
danio rerio,A-GEOD-13526,D. rerio_UFZ_8x15KV4,20,,
dickeya dadantii,A-GEOD-8881,Dickeya dadantii 5.8K Ech3937,20,,
drosophila melanogaster,A-GEOD-14121,NimbleGen Drosophila melanogaster Whole Genome 2.1M tiling array [100718_DM_5_Catalog_tiling_HX1],20,,
emericella nidulans,A-GEOD-15593,Agilent_029535 Univ. of Sao Paulo-FCFRP/Mol Biol Lab Aspergillus nidulans 4X44K v.1.0,20,,
escherichia coli str. k-12 substr. mg1655,A-GEOD-7714,Custom made Escherichia coli K12 MG1655 tiling array,20,,
euphausia superba,A-GEOD-16269,Agilent Krill v1.1 (Agilent Design ID: 034463),20,,
felis catus,A-UHNC-7,UHN Homo sapiens 1.7k8 array,20,,
fundulus heteroclitus,A-GEOD-13723,Agilent-026181 Fundulus heteroclitus 45K (Probe name version),20,,
fusarium graminearum,A-GEOD-18136,[Fusariuma520094] Affymetrix Fusarium GeneChip 2006,20,,
gallus gallus,A-MEXP-1475,operonchicken,20,,
gallus gallus,A-MEXP-154,KTH UniChicken 15k Uppsala UTG,20,,
gallus gallus,A-GEOD-10227,ARK-Genomics G. gallus 20K v2 (single gene version),20,,
haematobia irritans,A-GEOD-6818,Hornfly Haematobia irritans EST array,20,,
homo sapiens,A-GEOD-18991,[miRNA-3] Affymetrix Multispecies miRNA-3 Array [miRNA-3_0] or [miRNA-3_1],20,,
homo sapiens,A-GEOD-20609,[PrimeView] Affymetrix Human Gene Expression Array [Brainarray ENTREZG Version 19],20,,
homo sapiens,A-GEOD-18991,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array [HGU133A2_Hs_ENTREZG_16.0.0],20,,
homo sapiens,A-GEOD-4747,YN Human 36K (sets1-8),20,,
homo sapiens,A-GEOD-4819,UMGC-IRCNA 9k A,20,,
homo sapiens,A-GEOD-10117,UHN_human_single-spotted 19k cDNA array_version 8,20,,
homo sapiens,A-GEOD-2040,UHN Human CpG 12K Array (HCGI12K),20,,
homo sapiens,A-AFFY-107,UCSF HUMAN 1.14 v3,20,,
homo sapiens,A-AFFY-72,UCSF HUMAN 1.14 v3,20,,
homo sapiens,A-GEOD-11532,"Sawaya miRCURY LNA microRNA Array, v.11.0 - hsa, mmu & rno [full array]",20,,
homo sapiens,A-SMDB-592,SMD Homo sapiens Lymphochip Array LC-24,20,,
homo sapiens,A-SMDB-1225,SMD Homo sapiens Array SHGS,20,,
homo sapiens,A-SMDB-632,SMD Homo sapiens Array SHDS,20,,
homo sapiens,A-SMDB-837,SMD Homo sapiens Array SHDQ,20,,
homo sapiens,A-GEOD-4883,SBTM Microarray Laboratory Operon Human v2.1,20,,
homo sapiens,A-GEOD-4372,Rosetta/Merck Human RSTA Custom Affymetrix 1.0 microarray,20,,
homo sapiens,A-GEOD-9137,Oryzon Human Exon SI Array,20,,
homo sapiens,A-GEOD-21234,Oligo GEArray Human Tumor Metastasis Microarray (OHS-028),20,,
homo sapiens,A-GEOD-16284,Nimblegen Homo sapiens HG18 Expression Array (12x135k) [gene-level],20,,
homo sapiens,A-GEOD-1052,NIAID - Hsab,20,,
homo sapiens,A-GEOD-18229,NFkB 96 StellArray qPCR array,20,,
homo sapiens,A-GEOD-10936,MBPL human 30k P7,20,,
homo sapiens,A-GEOD-10083,KSHV tiling microarray AMADID: 017577,20,,
homo sapiens,A-GEOD-8733,Illumina HumanWG-6_V2_0_R2,20,,
homo sapiens,A-AFFY-44,Illumina HumanRef-8 v2 Expression Beadchip 1699538181,20,,
homo sapiens,A-GEOD-6790,Illumina HumanRef-6 v2.0 expression beadchip,20,,
homo sapiens,A-AFFY-33,Illumina Human1M-Duov3 DNA Analysis BeadChip (Human1M-Duov3_B),20,,
homo sapiens,A-AFFY-33,Illumina Human microRNA V1 BeadChip,20,,
homo sapiens,A-GEOD-8798,Human oligo array from MWG cancerochips_v2009,20,,
homo sapiens,A-GEOD-8792,Human lincRNA 391k Tiling Array V2,20,,
homo sapiens,A-GEOD-7566,Human Genome U133 A 2.0 Custom CDF Version 9,20,,
homo sapiens,A-GEOD-4763,FHCRC Human Prostate PEDB cDNA Array v9,20,,
homo sapiens,A-GEOD-4764,FHCRC Human Prostate PEDB cDNA Array v9,20,,
homo sapiens,A-GEOD-1384,DKFZ Operon 27k long oligonucleotide array,20,,
homo sapiens,A-MEXP-95,CNIO Human Oncochip 1.1b,20,,
homo sapiens,A-GEOD-9173,Ambion mirVana miRNA Probe Set 1564V2 Oct06_IZKF (condensed),20,,
homo sapiens,A-GEOD-14835,Agilent-029842 60K_CpG2,20,,
homo sapiens,A-AFFY-44,Agilent-017075 human hg18 promoter 800-200,20,,
homo sapiens,A-MTAB-555,"Agilent human gene expression microarray (GridName 038498, 1064 cols x 170 rows)",20,,
homo sapiens,A-GEOD-10931,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),20,,
homo sapiens,A-GEOD-16699,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),20,,
homo sapiens,A-GEOD-6955,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),20,,
homo sapiens,A-AFFY-143,Affymetrix GeneChip Human HJAY Array,20,,
homo sapiens,A-GEOD-7020,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],20,,
homo sapiens,A-MEXP-1514,Affymetrix GeneChip Human Genome U133 Plus 2.0 Array [CDF: HGU133Plus2_Hs_ENTREZG v11.0.1],20,,
homo sapiens,A-MEXP-1515,Affymetrix GeneChip Human Genome U133 Plus 2.0 Array [CDF: HGU133Plus2_Hs_ENTREZG v11.0.1],20,,
homo sapiens,A-GEOD-8307,AIST Human EstrArray,20,,
homo sapiens,A-GEOD-9816,8q24 Nimblegen Homo sapiens 385K custom tiling array,20,,
homo sapiens,A-GEOD-7738,3D-Gene Human miRNA Oligo chip v10.1,20,,
lactobacillus casei atcc 334,A-GEOD-9271,Lactobacillus casei ATCC 334 5.1K,20,,
lactobacillus plantarum,A-GEOD-4318,"WCFS Lactobacillus plantarum 11K 60-mer array, Version 1, our ID LPAG1",20,,
lepeophtheirus salmonis,A-MEXP-2259,Salmon Louse Agilent Custom 4x44K v2 (design ID 030567),20,,
manihot esculenta,A-GEOD-11271,SIPPE Cassava 44k v1.0,20,,
marine metagenome,A-GEOD-10323,UGAmamlab_Roseoarray_12k_v2,20,,
meleagris gallopavo,A-GEOD-6041,NCSU_chicken_JS1 (96 oligos),20,,
methanobacterium thermoautotrophicum,A-MEXP-948,Gene based delta H,20,,
mus musculus,A-GEOD-15733,[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [CDF: MoGene10stv1_Mm_ENTREZG_12.1.0],20,,
mus musculus,A-GEOD-2900,Wistar Institute Mus musculus 9.6k MA11 array,20,,
mus musculus,A-GEOD-2918,Wistar Institute Mus musculus 9.6k MA11 array,20,,
mus musculus,A-GEOD-2918,Wistar Institute Mus musculus 9.6k MA10 array,20,,
mus musculus,A-GEOD-2900,Wistar Institute Mus musculus 9.6k MA07 array,20,,
mus musculus,A-GEOD-6599,WUSTL Human Herpesvirus 1,20,,
mus musculus,A-GEOD-6436,WU Mouse_Illumina_46k_v6-1.1,20,,
mus musculus,A-MEXP-2,VIB Mouse 5K 5,20,,
mus musculus,A-MEXP-3,VIB Mouse 5K 5,20,,
mus musculus,A-MEXP-5,VIB Mouse 5K 5,20,,
mus musculus,A-MEXP-6,VIB Mouse 5K 5,20,,
mus musculus,A-GEOD-6593,Unknown!,20,,
mus musculus,A-GEOD-7076,OSU-CCC MicroRNA Microarray Version 3.0 (Merged replicated probes),20,,
mus musculus,A-MEXP-1707,Nimblegen Mouse Expression Array MM8_60mer_expr - Stancheva,20,,
mus musculus,A-CBIL-13,LION Mouse cDNA array v1.0,20,,
mus musculus,A-MEXP-1175,Illumina MouseWG-6 v1.1 Expression BeadChip,20,,
mus musculus,A-MEXP-1502,Hottiger Array Design,20,,
mus musculus,A-GEOD-6593,CNIO-CDC Ratnchip 23K v3,20,,
mus musculus,A-GEOD-10449,Agilent-027411 SurePrint G3 Mouse CGH Microarray 4x180K,20,,
mus musculus,A-GEOD-18090,Agilent-019647 Kogan-custom-mouse1 014868 array (Probe Name version),20,,
mus musculus,A-GEOD-14657,Affymetrix Mouse Genome 430 2.0 Array [CDF: Mouse4302_Mm_ENSG v13],20,,
mus musculus,A-GEOD-11579,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],20,,
mus musculus,A-AFFY-44,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],20,,
mus musculus,A-GEOD-14005,AECOM Operon 3.0 34K Mouse Array,20,,
mycobacterium tuberculosis,A-BUGS-1,BuG@S M.tuberculosis / M.bovis 10944 TBv2_1_1,20,,
oncorhynchus mykiss,A-GEOD-18864,Agilent-035370 Salmonid_60k_Array_V1_060711 035285,20,,
oryza sativa,A-GEOD-7252,Custom GER rice oligoarray,20,,
oryza sativa japonica group,A-GEOD-18435,Rice 135k tiling V2 array,20,,
oryza sativa japonica group,A-GEOD-15594,NimbleGen Rice 3'-Tiling Microarray,20,,
ovis aries,A-MEXP-1402,ARK-Genomics B. taurus 20K v1,20,,
phodopus sungorus,A-MEXP-860,Adapted HGMP 15K murine slide 2 13MR,20,,
phytophthora infestans,A-GEOD-8093,Broad NimbleGen 385k Phytophthora infestans,20,,
plasmodium falciparum,A-MEXP-201,Pf_IP_v_0.7,20,,
platichthys flesus,A-MEXP-14,Birmingham Flounder 160,20,,
podospora anserina,A-GEOD-10115,Agilent Whole_genome_Podospora anserina_v.2_4X44K (oligonucleotides microarray development),20,,
populus tremula,A-GEOD-17041,Agilent-021876 Populus 4x44K [gene-level],20,,
populus tremula x populus alba,A-GEOD-16322,Agilent-033484 Populus 8x60K v2.0 (Probe Name version),20,,
populus tremula x populus tremuloides,A-AFFY-131,Affymetrix GeneChip Poplar Genome Array [Poplar],20,,
prochlorococcus marinus subsp. pastoris str. ccmp1986,A-GEOD-8853,University of Freiburg - Prochlorococcus microarray - MD4-9313 (MD4-9313a520062) version GC3.0,20,,
rattus norvegicus,A-MEXP-617,Florence Rattus norvegicus Operon Oligo 6.7k,20,,
rattus norvegicus,A-GEOD-10488,Agilent custom rat miRNA array v2,20,,
rattus rattus,A-GEOD-9207,Duke Operon Rat 27k V3.0 printed oligonucleotide array,20,,
rhipicephalus microplus,A-GEOD-15231,Agilent-024497 BmicroplusEST_1 custom array (Feature Number version),20,,
rosa chinensis,A-GEOD-6746,INRA GeneChip Rosa genome 5K Array version 1,20,,
saccharina latissima,A-MEXP-2139,Saccharina_array_2x105k,20,,
saccharomyces cerevisiae,A-GEOD-10084,Vanderbilt University/NimbleGen Saccharomyces cerevisiae 11470 Array,20,,
